album_title,year,performer,genre,number,track_title
Revolver,1966,The Beatles,Rock,1,Taxman
Revolver,1966,The Beatles,Rock,2,Elanor Rigby
Revolver,1966,The Beatles,Rock,3,I'am Only Sleeping
Revolver,1966,The Beatles,Rock,4,Love To You
Revolver,1966,The Beatles,Rock,5,"Here, There and Everywhere"
Revolver,1966,The Beatles,Rock,6,Yellow Submarine
Revolver,1966,The Beatles,Rock,7,She Said She Said
Revolver,1966,The Beatles,Rock,8,Good Day Sunshine
Revolver,1966,The Beatles,Rock,9,And Your Bird Can Sing
Revolver,1966,The Beatles,Rock,10,For No One
Revolver,1966,The Beatles,Rock,11,Doctor Robert
Revolver,1966,The Beatles,Rock,12,I Want to Tell You
Revolver,1966,The Beatles,Rock,13,Got to Get You Into My Life
Revolver,1966,The Beatles,Rock,14,Tomorrow Never Knows
21,2011,Adele,Soul,1,Rolling In the Deep
21,2011,Adele,Soul,2,Rumour Has It
21,2011,Adele,Soul,3,Turning Tables
21,2011,Adele,Soul,4,Don’t You Remember
21,2011,Adele,Soul,5,Set Fire to The Rain
21,2011,Adele,Soul,6,He Won't Go
21,2011,Adele,Soul,7,Take it All
21,2011,Adele,Soul,8,I'll Be Waiting
21,2011,Adele,Soul,9,One and Only
21,2011,Adele,Soul,10,Lovesong
21,2011,Adele,Soul,11,Someone Like You
